Month_Year,Country,Month_Ahead_FX,CEP_Log,RER_Level,Momentum_Log,DXY_Level,FX_Vol_Abs,TED_Rel,VIX_Rel,NBER,Row,Column
2021-Apr,Denmark,0.016890972,0.00199103,99.76,-0.028854387,113.3497,0.0032,0.0625,-0.2024,0,10,16
2021-Apr,Malaysia,-0.007060285,0.00600456,99.84,-0.022692202,113.3497,0.0012,0.0625,-0.2024,0,10,17
2021-Apr,Colombia,0.012251433,-0.00077842,98.69,-0.003957039,113.3497,0.0073,0.0625,-0.2024,0,10,18
2021-Apr,Peru,-0.013336161,0.00279338,91.7,-0.025710444,113.3497,0.0083,0.0625,-0.2024,0,10,19
2021-Apr,Norway,-0.001334095,0.00906399,107.77,0.011952797,113.3497,0.0056,0.0625,-0.2024,0,10,20
2021-Apr,New_Zealand,0.01497117,0.00282757,105.53,-0.035175264,113.3497,0.0055,0.0625,-0.2024,0,10,21
2021-Apr,South_Africa,0.054990264,0.00187283,111.97,0.021843456,113.3497,0.0074,0.0625,-0.2024,0,10,22
2021-Apr,Chile,-0.016933113,0.00601502,109.79,0.004585416,113.3497,0.0081,0.0625,-0.2024,0,10,23
2021-Apr,Canada,0.018644538,0.00191785,105.14,0.014310241,113.3497,0.0037,0.0625,-0.2024,0,10,24
2021-Apr,Australia,0.002330098,0.00511882,108.44,-0.014247676,113.3497,0.0048,0.0625,-0.2024,0,10,25
2021-Apr,Mexico,0.01393527,-0.00016334,106.85,0.020645269,113.3497,0.0039,0.0625,-0.2024,0,10,26
2021-Apr,Brazil,0.041193006,0.0015155,92.2,-0.00585927,113.3497,0.0076,0.0625,-0.2024,0,10,27
2021-Apr,Russia,0.025740927,0.00240327,94.1,-0.019166246,113.3497,0.0078,0.0625,-0.2024,0,10,28
2021-Mar,Ireland,0.024426381,0.0009218,100.26,-0.005121862,112.0275,0.004,0.0667,-0.0562,0,11,13
2021-Mar,Indonesia,0.005524876,0.00080472,97.87,-0.015570024,112.0275,0.0019,0.0667,-0.0562,0,11,14
2021-Mar,Netherlands,0.024426381,0.00400062,100.23,-0.005121862,112.0275,0.004,0.0667,-0.0562,0,11,15
2021-Mar,Denmark,0.024560901,0.00559433,99.61,-0.005176635,112.0275,0.0039,0.0667,-0.0562,0,11,16
2021-Mar,Malaysia,0.012624591,0.00133338,100.1,-0.002965894,112.0275,0.0027,0.0667,-0.0562,0,11,17
2021-Mar,Colombia,-0.02496088,0.00325978,99.81,-0.021317672,112.0275,0.0081,0.0667,-0.0562,0,11,18
2021-Mar,Peru,-0.008963899,0.00074289,92.02,-0.003212656,112.0275,0.0028,0.0667,-0.0562,0,11,19
2021-Mar,Norway,0.027812679,0.00306248,106.38,-0.013673736,112.0275,0.007,0.0667,-0.0562,0,11,20
2021-Mar,New_Zealand,0.025031357,0.00211926,105.36,0.005962716,112.0275,0.0067,0.0667,-0.0562,0,11,21
2021-Mar,South_Africa,0.01864013,0.00086398,107.37,0.004290901,112.0275,0.0093,0.0667,-0.0562,0,11,22
2021-Mar,Chile,0.013841535,0.01172612,106.99,0.015198153,112.0275,0.0082,0.0667,-0.0562,0,11,23
2021-Mar,Canada,0.021653359,0.00218123,104.74,0.002978525,112.0275,0.0036,0.0667,-0.0562,0,11,24
2021-Mar,Australia,0.015674302,0.00061656,108.41,0.00821012,112.0275,0.0059,0.0667,-0.0562,0,11,25
2021-Mar,Mexico,0.009643846,0.00117078,103.14,-0.012671076,112.0275,0.0093,0.0667,-0.0562,0,11,26
2021-Mar,Brazil,0.035221971,0.00068144,91.14,-0.024610006,112.0275,0.0166,0.0667,-0.0562,0,11,27
2021-Mar,Russia,0.005718054,0.00389973,95.97,0.021267462,112.0275,0.0074,0.0667,-0.0562,0,11,28
2021-Feb,Ireland,-0.029075235,0.00099564,100.38,-0.006324716,111.4953,0.004,0.0714,-0.0711,0,12,13
2021-Feb,Indonesia,-0.019472103,-0.00548503,98.94,0.001425517,111.4953,0.0033,0.0714,-0.0711,0,12,14
2021-Feb,Netherlands,-0.029075235,0.000398,100.46,-0.006324716,111.4953,0.004,0.0714,-0.0711,0,12,15
2021-Feb,Denmark,-0.028854387,0.00444378,100.02,-0.005679462,111.4953,0.004,0.0714,-0.0711,0,12,16
2021-Feb,Malaysia,-0.022692202,-0.01162259,100.16,-0.004962789,111.4953,0.0017,0.0714,-0.0711,0,12,17
2021-Feb,Colombia,-0.003957039,0.00804839,99.92,-0.04387044,111.4953,0.0069,0.0714,-0.0711,0,12,18
2021-Feb,Peru,-0.025710444,0.00138809,91.83,-0.004686432,111.4953,0.0012,0.0714,-0.0711,0,12,19
2021-Feb,Norway,0.011952797,-0.02328671,105.73,0.005072356,111.4953,0.0077,0.0714,-0.0711,0,12,20
2021-Feb,New_Zealand,-0.035175264,0.00120296,105.55,0.000695652,111.4953,0.007,0.0714,-0.0711,0,12,21
2021-Feb,South_Africa,0.021843456,0.00041137,106.99,-0.031478242,111.4953,0.0109,0.0714,-0.0711,0,12,22
2021-Feb,Chile,0.004585416,0.00800617,105.95,-0.034399725,111.4953,0.0071,0.0714,-0.0711,0,12,23
2021-Feb,Canada,0.014310241,0.00270519,103.08,-0.003685267,111.4953,0.0046,0.0714,-0.0711,0,12,24
2021-Feb,Australia,-0.014247676,-0.00430285,107.51,-0.006781455,111.4953,0.0075,0.0714,-0.0711,0,12,25
2021-Feb,Mexico,0.020645269,0.00349386,104.57,-0.035325562,111.4953,0.0093,0.0714,-0.0711,0,12,26
2021-Feb,Brazil,-0.00585927,0.0011004,93.82,-0.050460208,111.4953,0.011,0.0714,-0.0711,0,12,27
2021-Feb,Russia,-0.019166246,0.00016424,94.25,-0.026215223,111.4953,0.0058,0.0714,-0.0711,0,12,28
2021-Jan,Ireland,-0.005121862,0.00093649,100.92,0.023612381,111.9051,0.0036,-0.0667,0.1135,0,13,13
2021-Jan,Indonesia,-0.015570024,0.01129792,99.13,0.003554927,111.9051,0.0039,-0.0667,0.1135,0,13,14
2021-Jan,Netherlands,-0.005121862,0.01546256,100.39,0.023612381,111.9051,0.0036,-0.0667,0.1135,0,13,15
2021-Jan,Denmark,-0.005176635,0.00279592,100.21,0.023873985,111.9051,0.0036,-0.0667,0.1135,0,13,16
2021-Jan,Malaysia,-0.002965894,0.02475536,100.34,0.013097926,111.9051,0.0028,-0.0667,0.1135,0,13,17
2021-Jan,Colombia,-0.021317672,0.00863182,101.38,0.051304277,111.9051,0.0088,-0.0667,0.1135,0,13,18
2021-Jan,Peru,-0.003212656,0.00405695,92.84,-0.003654084,111.9051,0.0016,-0.0667,0.1135,0,13,19
2021-Jan,Norway,-0.013673736,0.03605989,104.9,0.036142789,111.9051,0.0077,-0.0667,0.1135,0,13,20
2021-Jan,New_Zealand,0.005962716,0.00242632,104.84,0.023089861,111.9051,0.0064,-0.0667,0.1135,0,13,21
2021-Jan,South_Africa,0.004290901,0.00427933,104.15,0.05163978,111.9051,0.0114,-0.0667,0.1135,0,13,22
2021-Jan,Chile,0.015198153,0.00432771,106.07,0.069326267,111.9051,0.0108,-0.0667,0.1135,0,13,23
2021-Jan,Canada,0.002978525,0.00855003,102.67,0.020987945,111.9051,0.005,-0.0667,0.1135,0,13,24
2021-Jan,Australia,0.00821012,0.01098985,107.17,0.046420995,111.9051,0.0064,-0.0667,0.1135,0,13,25
2021-Jan,Mexico,-0.012671076,0.00275056,106.36,0.014736636,111.9051,0.0063,-0.0667,0.1135,0,13,26
2021-Jan,Brazil,-0.024610006,0.00399247,94.51,0.026261295,111.9051,0.0119,-0.0667,0.1135,0,13,27
2021-Jan,Russia,0.021267462,0.02326472,93.81,0.033819243,111.9051,0.0078,-0.0667,0.1135,0,13,28
2020-Dec,Ireland,-0.006324716,0.00069616,101.55,0.023839941,114.1033,0.0039,0.1538,-0.1052,0,14,13
2020-Dec,Indonesia,0.001425517,0.01481799,98.95,0.036925128,114.1033,0.0015,0.1538,-0.1052,0,14,14
2020-Dec,Netherlands,-0.006324716,0.01691704,101.41,0.023839941,114.1033,0.0039,0.1538,-0.1052,0,14,15
2020-Dec,Denmark,-0.005679462,0.00329261,100.65,0.024021613,114.1033,0.004,0.1538,-0.1052,0,14,16
2020-Dec,Malaysia,-0.004962789,0.02573189,99.49,0.01896944,114.1033,0.002,0.1538,-0.1052,0,14,17
2020-Dec,Colombia,-0.04387044,0.01368189,102.24,0.073621959,114.1033,0.0076,0.1538,-0.1052,0,14,18
2020-Dec,Peru,-0.004686432,0.00916651,93.28,0.002133172,114.1033,0.0023,0.1538,-0.1052,0,14,19
2020-Dec,Norway,0.005072356,0.03231389,102.18,0.069605859,114.1033,0.0069,0.1538,-0.1052,0,14,20
2020-Dec,New_Zealand,0.000695652,0.00088143,104.22,0.0594147,114.1033,0.0048,0.1538,-0.1052,0,14,21
2020-Dec,South_Africa,-0.031478242,0.00883899,106.12,0.0490543,114.1033,0.0066,0.1538,-0.1052,0,14,22
2020-Dec,Chile,-0.034399725,0.01435241,104.38,0.016104668,114.1033,0.0055,0.1538,-0.1052,0,14,23
2020-Dec,Canada,-0.003685267,0.00985633,102.01,0.024092057,114.1033,0.0036,0.1538,-0.1052,0,14,24
2020-Dec,Australia,-0.006781455,0.01851748,105.21,0.044402256,114.1033,0.0046,0.1538,-0.1052,0,14,25
2020-Dec,Mexico,-0.035325562,0.00414618,105.91,0.048634303,114.1033,0.0057,0.1538,-0.1052,0,14,26
2020-Dec,Brazil,-0.050460208,0.00421242,98.4,0.074552636,114.1033,0.0127,0.1538,-0.1052,0,14,27
2020-Dec,Russia,-0.026215223,0.02587819,94.23,0.038876392,114.1033,0.0089,0.1538,-0.1052,0,14,28
2020-Nov,Ireland,0.023612381,0.00045088,100.36,-0.006077485,115.7882,0.0032,0.0833,-0.1508,0,15,13
2020-Nov,Indonesia,0.003554927,0.00762912,99.73,0.014935783,115.7882,0.0049,0.0833,-0.1508,0,15,14
2020-Nov,Netherlands,0.023612381,0.00689179,100.8,-0.006077485,115.7882,0.0032,0.0833,-0.1508,0,15,15
2020-Nov,Denmark,0.023873985,0.00110905,100.73,-0.00632541,115.7882,0.0032,0.0833,-0.1508,0,15,16
2020-Nov,Malaysia,0.013097926,0.0127348,99.15,0.000481696,115.7882,0.0027,0.0833,-0.1508,0,15,17
2020-Nov,Colombia,0.051304277,0.00545887,97.68,-0.011333481,115.7882,0.0062,0.0833,-0.1508,0,15,18
2020-Nov,Peru,-0.003654084,0.00435364,95.21,-0.003270876,115.7882,0.0057,0.0833,-0.1508,0,15,19
2020-Nov,Norway,0.036142789,0.00897694,100.15,-0.021702761,115.7882,0.0083,0.0833,-0.1508,0,15,20
2020-Nov,New_Zealand,0.023089861,0.00259303,102.66,0.000907304,115.7882,0.0045,0.0833,-0.1508,0,15,21
2020-Nov,South_Africa,0.05163978,0.00316112,103.51,0.029725304,115.7882,0.0088,0.0833,-0.1508,0,15,22
2020-Nov,Chile,0.069326267,0.0085653,102.21,0.015046952,115.7882,0.007,0.0833,-0.1508,0,15,23
